               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073471,            0.024318,                   0,             0.44624,             0.59477,             0.52894,             0.31655,            0.030716,           0.0080666,                   0,            0.070273,            0.003303,            0.003303
                   1,            0.051588,            0.017496,                   0,             0.64017,              0.6783,              0.6786,             0.46884,            0.024715,           0.0054596,                   0,            0.040207,           0.0065707,           0.0065707
                   2,            0.045929,            0.014692,                   0,             0.61058,             0.60803,             0.61368,             0.39529,            0.027383,           0.0051362,                   0,            0.010075,           0.0097723,           0.0097723
                   3,            0.043612,            0.013321,                   0,             0.82471,             0.78928,             0.84726,             0.55562,            0.022114,           0.0052465,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.041254,            0.013213,                   0,             0.79277,             0.77124,             0.82533,             0.55675,            0.022729,           0.0064094,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.037143,            0.013137,                   0,             0.77195,             0.65142,             0.73622,             0.47913,            0.021041,           0.0063886,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.037873,             0.01315,                   0,             0.76202,             0.73203,             0.79476,              0.5588,            0.020339,           0.0055811,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.035775,            0.013563,                   0,             0.84377,             0.64488,             0.76812,             0.49151,            0.023309,           0.0057281,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.035889,            0.013121,                   0,             0.80749,              0.7451,             0.82897,             0.57673,            0.020058,           0.0052178,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.033161,            0.012552,                   0,             0.84993,             0.71895,              0.8259,             0.56679,            0.020464,           0.0059837,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.032609,            0.012421,                   0,             0.85114,             0.73856,             0.83348,             0.57314,            0.019205,           0.0053498,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.032293,            0.012267,                   0,             0.85088,             0.77074,             0.84226,             0.57862,            0.019927,           0.0051708,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.031116,            0.011912,                   0,             0.77991,             0.66885,             0.75015,             0.50624,            0.021677,           0.0056357,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.030709,            0.011437,                   0,             0.83581,             0.76906,             0.83429,             0.58354,            0.018343,           0.0052745,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.030164,            0.011593,                   0,             0.88573,             0.77679,             0.85391,             0.60527,            0.019377,           0.0052405,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.028564,            0.011173,                   0,             0.87883,             0.80174,               0.871,             0.63267,            0.018031,           0.0047947,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.02765,             0.01097,                   0,             0.89724,             0.78867,             0.86345,             0.62637,            0.019189,           0.0049322,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.028765,            0.010951,                   0,             0.87253,             0.77342,             0.84637,             0.59943,            0.017438,           0.0053124,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.027128,            0.010908,                   0,             0.89503,             0.78017,             0.86955,               0.633,               0.018,           0.0048642,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.027479,            0.010167,                   0,             0.88163,             0.79956,             0.87462,             0.65776,            0.017059,            0.004732,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.025812,            0.010304,                   0,             0.89156,             0.80392,             0.88109,             0.67401,            0.015863,           0.0047129,                   0,            0.008119,            0.008119,            0.008119
