               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069814,            0.020759,                   0,            0.023984,             0.39434,            0.019607,           0.0055164,            0.055846,             0.70257,                   0,            0.070273,            0.003303,            0.003303
                   1,            0.066415,            0.020845,                   0,           0.0051519,            0.039216,            0.002506,          0.00070937,            0.048301,             0.16455,                   0,            0.040207,           0.0065707,           0.0065707
                   2,            0.067933,            0.021069,                   0,            0.001196,             0.50109,           0.0010484,          0.00041443,                 nan,                 nan,                   0,            0.010075,           0.0097723,           0.0097723
                   3,            0.066024,            0.019531,                   0,             0.10706,             0.24401,            0.071676,            0.020681,            0.038936,            0.012651,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.066377,            0.019815,                   0,             0.22906,             0.24183,             0.14647,            0.041551,            0.044674,            0.010961,                   0,            0.009703,            0.009703,            0.009703
                   5,              0.0625,            0.020467,                   0,               0.271,             0.32721,             0.21006,            0.073964,            0.039459,           0.0097061,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.061608,            0.020399,                   0,             0.20394,             0.20915,             0.12308,            0.035613,            0.040936,           0.0085209,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.061565,            0.020158,                   0,              0.2551,             0.36819,             0.21911,            0.076405,            0.034972,            0.012647,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.060343,            0.019584,                   0,             0.21888,             0.21351,             0.15008,            0.051884,            0.035881,            0.008826,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.059911,            0.019462,                   0,             0.28979,             0.08061,            0.060991,            0.013929,            0.047802,           0.0078162,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.060217,            0.019603,                   0,             0.27966,             0.28976,             0.22446,            0.079807,             0.03744,            0.010782,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.062836,            0.019906,                   0,             0.18843,             0.27233,              0.1319,            0.037648,            0.043618,            0.012868,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.057636,            0.020002,                   0,             0.19697,             0.15251,            0.091649,            0.026452,            0.044194,            0.014586,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.058195,            0.020041,                   0,              0.1025,            0.034858,            0.012102,           0.0033168,            0.056527,           0.0079315,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.056516,            0.019698,                   0,             0.29856,             0.13943,             0.16502,            0.059987,            0.035141,           0.0089095,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.056364,            0.019662,                   0,             0.18117,             0.20479,            0.090062,            0.025522,            0.039592,           0.0088401,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.058128,            0.019588,                   0,             0.31167,              0.3268,             0.23873,            0.086797,            0.034621,            0.008225,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.054823,            0.019467,                   0,             0.13199,             0.11983,            0.053674,            0.014389,            0.044882,           0.0084507,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.056203,            0.019263,                   0,             0.52793,             0.32649,             0.34579,             0.12716,            0.035966,           0.0082377,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.058169,            0.019388,                   0,             0.54111,             0.42131,             0.44274,             0.19197,            0.034391,           0.0078029,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.056089,            0.019346,                   0,             0.20783,             0.13725,            0.085276,            0.026612,             0.04666,           0.0091716,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.055006,            0.019663,                   0,             0.14445,             0.14714,            0.078672,            0.029711,            0.043803,           0.0083339,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.056121,            0.020083,                   0,             0.23922,             0.12399,            0.094626,            0.028825,            0.043728,           0.0085395,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.055416,            0.019745,                   0,             0.10878,             0.10458,            0.031604,           0.0096981,            0.042416,             0.01034,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.055857,            0.019395,                   0,             0.32692,             0.28105,             0.22802,            0.082901,            0.036152,            0.012915,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.058011,            0.020068,                   0,             0.16279,             0.18301,            0.075283,            0.021776,            0.043874,            0.048888,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.055053,            0.019335,                   0,             0.54194,             0.38126,             0.43573,             0.15476,            0.032983,            0.008115,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.054701,            0.019997,                   0,             0.38259,              0.1329,             0.11316,            0.034626,            0.048625,             0.00793,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.053768,            0.020297,                   0,             0.48946,             0.20915,             0.26188,             0.11154,            0.033801,           0.0086303,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.055498,            0.020021,                   0,             0.13857,             0.18954,            0.059064,            0.019731,            0.045284,           0.0093874,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.053567,            0.019244,                   0,             0.12467,              0.1024,            0.052186,            0.021728,            0.035723,           0.0096069,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.055078,            0.019864,                   0,           0.0088429,             0.26362,           0.0045818,            0.001065,            0.050686,            0.018266,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.054403,            0.019945,                   0,             0.23711,             0.16558,             0.12384,             0.04515,             0.03647,            0.008448,                   0,            0.006931,            0.006931,            0.006931
                  33,             0.05477,             0.01949,                   0,             0.27362,             0.27015,             0.17278,            0.051276,            0.041985,           0.0081458,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.052941,            0.018878,                   0,             0.17549,             0.13072,            0.090447,            0.031475,            0.043223,            0.010412,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.053249,            0.019808,                   0,             0.33206,             0.28105,             0.21389,            0.077586,            0.041082,           0.0083118,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.053126,            0.019836,                   0,            0.016833,            0.013072,           0.0010807,          0.00027414,            0.060624,              0.0087,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.053177,            0.019691,                   0,             0.32918,             0.32898,             0.23781,            0.083832,            0.039823,           0.0095672,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.052912,            0.019106,                   0,             0.34793,             0.24837,             0.22504,            0.090983,            0.034761,           0.0086068,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.053352,            0.018873,                   0,             0.36255,             0.38344,             0.30867,             0.11878,            0.032683,           0.0080397,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.051094,            0.019802,                   0,            0.084741,             0.11983,            0.038744,            0.011857,            0.049093,           0.0079592,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.051181,            0.019709,                   0,             0.36682,              0.3159,             0.25338,            0.098714,            0.039294,           0.0078456,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.051702,            0.019416,                   0,             0.21085,               0.122,            0.063523,            0.018807,            0.044671,           0.0079879,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.050406,            0.018608,                   0,             0.44192,             0.38562,             0.36884,             0.15263,            0.033768,            0.007617,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.050168,            0.019488,                   0,             0.28429,             0.33333,             0.25005,             0.10537,            0.033914,           0.0081816,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.050632,              0.0195,                   0,             0.20981,               0.122,            0.068187,             0.01803,            0.058344,           0.0078209,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.050178,            0.019248,                   0,             0.53784,             0.43137,             0.40332,              0.1712,            0.034122,           0.0073412,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.050252,            0.018535,                   0,             0.17626,             0.15468,            0.078249,            0.026292,            0.042556,            0.010136,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.051369,            0.018604,                   0,             0.48002,              0.3942,             0.32979,             0.12402,            0.040893,           0.0074273,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.05132,            0.018988,                   0,             0.50036,              0.5207,             0.46714,             0.20453,            0.030923,            0.010112,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.053516,            0.018889,                   0,             0.28047,             0.22004,             0.17074,            0.052879,            0.041184,           0.0080121,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.049415,            0.019227,                   0,             0.50859,              0.3878,             0.36711,             0.15689,            0.040285,            0.007099,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.049323,            0.019116,                   0,             0.57812,             0.47171,             0.48695,             0.20857,             0.03235,           0.0078483,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.048443,            0.018722,                   0,             0.54007,             0.46405,             0.49309,              0.2206,            0.029786,           0.0075688,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.048643,            0.018746,                   0,             0.10901,            0.076253,            0.032913,            0.011098,            0.055867,           0.0071714,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.048438,            0.018715,                   0,              0.5489,             0.48778,             0.46841,              0.1942,            0.031595,           0.0077278,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.047821,             0.01819,                   0,             0.62557,             0.50545,              0.5187,             0.23722,            0.031185,           0.0075318,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.049428,            0.018389,                   0,             0.19176,             0.21786,             0.14934,            0.057595,            0.040128,           0.0086829,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.049812,            0.018524,                   0,             0.53332,             0.53377,             0.52736,             0.24868,            0.028939,           0.0096832,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.046448,            0.018665,                   0,             0.46281,             0.38998,             0.35219,             0.14309,            0.033483,           0.0075216,                   0,            0.004258,            0.004258,            0.004258
                  60,             0.04777,            0.018795,                   0,             0.49194,             0.51472,              0.4707,             0.21165,            0.031402,           0.0075533,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.046588,             0.01858,                   0,             0.52273,              0.4128,             0.42235,             0.17312,             0.03579,           0.0073536,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.047389,            0.018008,                   0,             0.34901,             0.32026,             0.21089,            0.072813,            0.040723,           0.0070356,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.047403,             0.01812,                   0,             0.50743,             0.39869,             0.40041,             0.15625,             0.03615,           0.0080267,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.047012,            0.018272,                   0,             0.53004,             0.45098,             0.45372,             0.20066,            0.032827,           0.0070926,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.049175,            0.018254,                   0,             0.50603,             0.43355,             0.44361,             0.19941,             0.03092,           0.0072586,                   0,            0.003664,            0.003664,            0.003664
