               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061153,            0.019846,                   0,             0.43664,              0.2549,             0.26364,            0.087707,            0.042874,           0.0069861,                   0,              0.0673,           0.0003303,           0.0003303
                   1,            0.048464,            0.016694,                   0,             0.38806,             0.44227,             0.34209,             0.15343,            0.033098,            0.012946,                   0,            0.034293,          0.00065707,          0.00065707
                   2,            0.043066,            0.015575,                   0,             0.49745,             0.46405,             0.43809,             0.23594,            0.027774,            0.016431,                   0,           0.0012803,          0.00097723,          0.00097723
                   3,            0.042852,            0.015864,                   0,             0.60096,              0.5381,             0.57554,             0.31904,            0.024157,            0.008259,                   0,           0.0009703,           0.0009703,           0.0009703
                   4,            0.041693,            0.015297,                   0,             0.49978,             0.41394,             0.44755,             0.20245,            0.026978,           0.0092676,                   0,           0.0009703,           0.0009703,           0.0009703
                   5,            0.042549,            0.015866,                   0,             0.73457,             0.68735,             0.74825,             0.43394,            0.025104,           0.0062955,                   0,           0.0009604,           0.0009604,           0.0009604
                   6,            0.038998,             0.01548,                   0,             0.75334,             0.65359,             0.70165,              0.4039,            0.024714,           0.0064491,                   0,           0.0009505,           0.0009505,           0.0009505
                   7,            0.039653,            0.015141,                   0,             0.75196,             0.65387,             0.73687,              0.4205,            0.023439,           0.0065361,                   0,           0.0009406,           0.0009406,           0.0009406
                   8,            0.037718,            0.014438,                   0,             0.73122,             0.59259,             0.71864,             0.42606,            0.025156,           0.0077359,                   0,           0.0009307,           0.0009307,           0.0009307
                   9,            0.036847,            0.014084,                   0,              0.7222,             0.49275,             0.57492,             0.33396,            0.027957,           0.0075846,                   0,           0.0009208,           0.0009208,           0.0009208
                  10,            0.034631,            0.014071,                   0,             0.85066,              0.6577,             0.77341,             0.46034,            0.022654,           0.0060348,                   0,           0.0009109,           0.0009109,           0.0009109
                  11,            0.034443,            0.013823,                   0,             0.69513,             0.55991,             0.66992,             0.41154,            0.021425,           0.0062682,                   0,            0.000901,            0.000901,            0.000901
                  12,            0.034037,            0.013751,                   0,             0.70008,             0.72213,             0.76435,             0.48352,            0.022033,           0.0064785,                   0,           0.0008911,           0.0008911,           0.0008911
                  13,            0.033275,            0.014092,                   0,             0.84483,             0.69717,             0.80587,             0.52644,            0.020266,           0.0060788,                   0,           0.0008812,           0.0008812,           0.0008812
                  14,             0.03117,            0.013111,                   0,             0.82045,             0.72113,             0.80792,             0.50877,             0.02181,           0.0055164,                   0,           0.0008713,           0.0008713,           0.0008713
                  15,            0.031148,            0.013012,                   0,              0.8305,             0.76471,             0.83308,             0.56566,            0.019625,           0.0054331,                   0,           0.0008614,           0.0008614,           0.0008614
                  16,            0.030138,            0.012105,                   0,             0.76481,             0.72767,             0.79051,             0.49983,            0.020202,           0.0056962,                   0,           0.0008515,           0.0008515,           0.0008515
                  17,            0.029662,            0.012835,                   0,             0.83528,             0.69063,             0.78073,             0.55191,            0.020653,           0.0054928,                   0,           0.0008416,           0.0008416,           0.0008416
                  18,            0.029158,            0.012535,                   0,             0.79674,             0.77996,             0.83463,             0.53158,            0.019962,           0.0052526,                   0,           0.0008317,           0.0008317,           0.0008317
                  19,            0.029057,            0.012285,                   0,               0.799,              0.6755,             0.75866,             0.51802,            0.020305,           0.0058045,                   0,           0.0008218,           0.0008218,           0.0008218
                  20,            0.029235,            0.011576,                   0,              0.8623,             0.75381,             0.84845,             0.58253,            0.019663,           0.0053219,                   0,           0.0008119,           0.0008119,           0.0008119
                  21,            0.028305,            0.011814,                   0,             0.82707,             0.68773,             0.78758,             0.52742,            0.019222,           0.0056514,                   0,            0.000802,            0.000802,            0.000802
                  22,            0.027815,            0.011686,                   0,              0.8018,             0.70506,             0.77773,             0.53996,            0.019586,           0.0056873,                   0,           0.0007921,           0.0007921,           0.0007921
                  23,             0.02709,            0.011274,                   0,             0.84306,             0.75599,             0.84188,             0.58367,            0.018945,           0.0053439,                   0,           0.0007822,           0.0007822,           0.0007822
                  24,            0.026263,            0.011174,                   0,             0.80021,             0.73301,             0.80325,              0.5298,            0.019737,           0.0054899,                   0,           0.0007723,           0.0007723,           0.0007723
                  25,            0.026904,            0.011713,                   0,              0.8261,             0.68307,             0.79147,             0.51714,            0.021333,            0.005372,                   0,           0.0007624,           0.0007624,           0.0007624
                  26,            0.027482,            0.011636,                   0,             0.90427,             0.74728,             0.85685,              0.5922,            0.018924,           0.0050743,                   0,           0.0007525,           0.0007525,           0.0007525
                  27,            0.027128,            0.011824,                   0,             0.80508,             0.71087,             0.79023,             0.52715,            0.019892,           0.0054265,                   0,           0.0007426,           0.0007426,           0.0007426
                  28,            0.027279,            0.011229,                   0,             0.62026,             0.57298,             0.59681,             0.38444,            0.023751,           0.0068757,                   0,           0.0007327,           0.0007327,           0.0007327
                  29,             0.02583,            0.011566,                   0,             0.79818,             0.73241,             0.82511,             0.56608,            0.019175,           0.0052927,                   0,           0.0007228,           0.0007228,           0.0007228
                  30,            0.026723,            0.011161,                   0,             0.86923,             0.72331,             0.82484,             0.54636,            0.020007,           0.0055558,                   0,           0.0007129,           0.0007129,           0.0007129
                  31,            0.026562,            0.011079,                   0,              0.8501,             0.76603,             0.85557,             0.60603,            0.018116,           0.0052795,                   0,            0.000703,            0.000703,            0.000703
                  32,            0.026693,            0.011563,                   0,             0.86781,             0.70085,             0.80383,             0.56536,            0.018709,           0.0057683,                   0,           0.0006931,           0.0006931,           0.0006931
                  33,            0.024965,            0.011112,                   0,              0.8147,             0.79505,             0.85554,             0.61215,            0.017131,           0.0049319,                   0,           0.0006832,           0.0006832,           0.0006832
                  34,            0.023405,            0.010532,                   0,               0.832,             0.72113,              0.7946,             0.54215,            0.019156,           0.0057308,                   0,           0.0006733,           0.0006733,           0.0006733
                  35,            0.023943,            0.010521,                   0,             0.82949,             0.76253,             0.84783,             0.60717,             0.01707,           0.0051072,                   0,           0.0006634,           0.0006634,           0.0006634
                  36,            0.024219,           0.0098965,                   0,             0.84644,             0.80463,             0.86351,             0.61249,            0.017484,           0.0048068,                   0,           0.0006535,           0.0006535,           0.0006535
                  37,            0.022961,            0.010169,                   0,             0.87476,             0.75599,             0.84273,             0.59156,            0.018952,           0.0052102,                   0,           0.0006436,           0.0006436,           0.0006436
                  38,            0.023941,            0.010298,                   0,             0.84992,             0.76495,             0.83913,             0.56173,            0.018279,           0.0055137,                   0,           0.0006337,           0.0006337,           0.0006337
                  39,            0.023379,            0.010165,                   0,             0.89742,             0.75381,             0.85638,             0.60274,              0.0179,           0.0053399,                   0,           0.0006238,           0.0006238,           0.0006238
                  40,            0.022423,           0.0096684,                   0,             0.84057,             0.76958,             0.85002,             0.61089,            0.017391,           0.0052502,                   0,           0.0006139,           0.0006139,           0.0006139
                  41,            0.022279,           0.0097419,                   0,             0.85622,             0.68762,             0.79093,             0.56451,            0.018102,           0.0059282,                   0,            0.000604,            0.000604,            0.000604
                  42,            0.021314,           0.0095478,                   0,             0.86566,             0.74405,             0.85129,             0.62587,            0.017684,            0.005194,                   0,           0.0005941,           0.0005941,           0.0005941
                  43,            0.021759,           0.0095332,                   0,             0.91425,             0.75381,             0.87606,             0.64235,            0.017348,           0.0048276,                   0,           0.0005842,           0.0005842,           0.0005842
                  44,            0.021095,           0.0094319,                   0,              0.8469,             0.68692,              0.7984,             0.57915,            0.018089,           0.0054677,                   0,           0.0005743,           0.0005743,           0.0005743
                  45,            0.021563,           0.0099693,                   0,             0.86583,             0.82571,             0.88414,              0.6418,            0.017527,            0.004748,                   0,           0.0005644,           0.0005644,           0.0005644
                  46,            0.021386,           0.0093704,                   0,             0.88409,             0.78102,             0.86729,             0.65294,            0.016846,           0.0048643,                   0,           0.0005545,           0.0005545,           0.0005545
                  47,            0.021273,           0.0094015,                   0,             0.86687,             0.75186,             0.85279,             0.62071,            0.017059,            0.004998,                   0,           0.0005446,           0.0005446,           0.0005446
                  48,            0.021011,           0.0094246,                   0,             0.87436,              0.7342,             0.83021,             0.59127,            0.017934,           0.0055635,                   0,           0.0005347,           0.0005347,           0.0005347
                  49,            0.020173,           0.0094705,                   0,             0.86591,             0.76688,             0.84177,              0.6076,            0.017566,           0.0054216,                   0,           0.0005248,           0.0005248,           0.0005248
                  50,            0.020975,           0.0092561,                   0,               0.893,             0.75599,             0.85457,             0.61296,            0.017315,           0.0059337,                   0,           0.0005149,           0.0005149,           0.0005149
                  51,            0.020824,           0.0093504,                   0,             0.86335,             0.76471,             0.85772,              0.6328,            0.016763,           0.0050922,                   0,            0.000505,            0.000505,            0.000505
                  52,             0.02025,           0.0092116,                   0,             0.87409,             0.76035,             0.85171,             0.62037,            0.017168,           0.0052603,                   0,           0.0004951,           0.0004951,           0.0004951
                  53,            0.019767,           0.0090266,                   0,             0.83442,             0.81248,             0.87053,             0.63463,            0.017689,           0.0047855,                   0,           0.0004852,           0.0004852,           0.0004852
                  54,            0.021169,           0.0093296,                   0,             0.91717,             0.77192,             0.87947,             0.64016,            0.017543,           0.0050806,                   0,           0.0004753,           0.0004753,           0.0004753
                  55,              0.0199,           0.0091674,                   0,             0.83558,             0.77501,              0.8541,             0.63277,            0.016981,            0.005125,                   0,           0.0004654,           0.0004654,           0.0004654
                  56,            0.020626,           0.0090503,                   0,             0.86341,             0.78501,             0.86965,             0.62236,            0.017304,           0.0050562,                   0,           0.0004555,           0.0004555,           0.0004555
                  57,             0.02157,           0.0099361,                   0,             0.88585,             0.81158,             0.88289,             0.64643,            0.017308,           0.0047795,                   0,           0.0004456,           0.0004456,           0.0004456
                  58,            0.021441,           0.0092629,                   0,             0.85845,             0.74946,             0.81891,             0.60219,            0.017568,             0.00536,                   0,           0.0004357,           0.0004357,           0.0004357
                  59,            0.020061,            0.008878,                   0,              0.8844,             0.76471,             0.85299,             0.63939,            0.016966,           0.0050758,                   0,           0.0004258,           0.0004258,           0.0004258
                  60,            0.019616,           0.0091902,                   0,             0.89422,             0.80828,             0.88554,              0.6532,            0.017696,           0.0047818,                   0,           0.0004159,           0.0004159,           0.0004159
