               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.018813,           0.0087611,                   0,             0.92424,             0.75381,              0.8718,             0.65188,            0.016832,           0.0049282,                   0,           0.0004951,           0.0004951,           0.0004951
                  53,            0.019598,            0.008487,                   0,             0.94946,             0.74292,             0.87738,             0.65682,            0.016978,           0.0050444,                   0,           0.0004852,           0.0004852,           0.0004852
                  54,            0.018645,            0.008283,                   0,             0.88511,             0.80565,             0.88806,             0.67686,            0.016174,           0.0047008,                   0,           0.0004753,           0.0004753,           0.0004753
                  55,            0.018831,           0.0078922,                   0,             0.87837,             0.77096,             0.85593,              0.6394,            0.016756,           0.0054665,                   0,           0.0004654,           0.0004654,           0.0004654
                  56,            0.017704,           0.0078748,                   0,             0.87435,             0.81917,             0.87757,             0.66383,            0.016255,           0.0049452,                   0,           0.0004555,           0.0004555,           0.0004555
                  57,            0.018398,           0.0083997,                   0,             0.94338,             0.76225,             0.86497,             0.65625,            0.016412,           0.0052137,                   0,           0.0004456,           0.0004456,           0.0004456
                  58,            0.017767,           0.0079898,                   0,             0.91611,              0.8366,             0.89359,             0.69813,              0.0163,            0.004645,                   0,           0.0004357,           0.0004357,           0.0004357
                  59,            0.017919,           0.0080706,                   0,             0.89968,             0.79739,             0.86764,              0.6569,            0.016743,           0.0049221,                   0,           0.0004258,           0.0004258,           0.0004258
                  60,            0.018063,            0.007998,                   0,             0.86609,              0.8366,             0.88099,             0.68156,            0.016058,           0.0047186,                   0,           0.0004159,           0.0004159,           0.0004159
                  61,            0.016351,           0.0075254,                   0,             0.92626,             0.81699,             0.89107,             0.69022,            0.015954,           0.0045422,                   0,            0.000406,            0.000406,            0.000406
                  62,            0.017131,           0.0074693,                   0,             0.90191,             0.82135,             0.88462,             0.67742,            0.016482,           0.0048746,                   0,           0.0003961,           0.0003961,           0.0003961
                  63,            0.017829,            0.007546,                   0,             0.92347,             0.79956,             0.87921,             0.67371,             0.01645,           0.0048835,                   0,           0.0003862,           0.0003862,           0.0003862
                  64,            0.016642,           0.0073462,                   0,             0.92029,             0.80496,             0.87939,             0.67807,            0.016053,           0.0048723,                   0,           0.0003763,           0.0003763,           0.0003763
                  65,            0.016715,           0.0074233,                   0,              0.9413,             0.79956,             0.89126,             0.69322,            0.015971,           0.0046776,                   0,           0.0003664,           0.0003664,           0.0003664
                  66,            0.016717,           0.0073784,                   0,             0.89808,             0.81481,             0.88028,             0.67594,             0.01671,           0.0050517,                   0,           0.0003565,           0.0003565,           0.0003565
                  67,            0.016932,           0.0074361,                   0,             0.94112,             0.80099,             0.88617,             0.68631,             0.01652,           0.0048648,                   0,           0.0003466,           0.0003466,           0.0003466
                  68,            0.015491,           0.0072017,                   0,             0.94685,             0.77996,             0.85916,             0.66407,            0.016747,           0.0052741,                   0,           0.0003367,           0.0003367,           0.0003367
                  69,            0.016499,           0.0075986,                   0,              0.9364,               0.834,              0.9004,             0.69422,            0.016082,            0.004614,                   0,           0.0003268,           0.0003268,           0.0003268
                  70,            0.015966,           0.0072283,                   0,             0.91168,             0.82789,              0.8884,             0.70294,            0.015936,           0.0049045,                   0,           0.0003169,           0.0003169,           0.0003169
                  71,            0.015352,           0.0068001,                   0,             0.91982,             0.82483,             0.89381,             0.70132,            0.015661,           0.0050371,                   0,            0.000307,            0.000307,            0.000307
                  72,            0.015081,           0.0070826,                   0,             0.91942,             0.79085,             0.88091,             0.68124,            0.016112,           0.0051311,                   0,           0.0002971,           0.0002971,           0.0002971
                  73,            0.015386,            0.007232,                   0,             0.92234,             0.81481,             0.89246,             0.71043,            0.015283,            0.005026,                   0,           0.0002872,           0.0002872,           0.0002872
                  74,            0.015633,           0.0066944,                   0,              0.9056,             0.83598,             0.89432,             0.70259,            0.015782,           0.0047694,                   0,           0.0002773,           0.0002773,           0.0002773
                  75,            0.014888,           0.0067912,                   0,             0.94327,             0.79693,             0.89158,             0.69958,             0.01609,           0.0049295,                   0,           0.0002674,           0.0002674,           0.0002674
                  76,            0.015639,            0.006889,                   0,             0.91724,             0.81917,             0.88868,             0.68614,            0.016594,           0.0049779,                   0,           0.0002575,           0.0002575,           0.0002575
                  77,            0.014557,           0.0064439,                   0,             0.96063,             0.79739,             0.89227,              0.7126,            0.015942,           0.0049691,                   0,           0.0002476,           0.0002476,           0.0002476
                  78,            0.014809,           0.0065303,                   0,             0.94981,             0.81699,             0.88828,             0.70482,            0.015884,           0.0050997,                   0,           0.0002377,           0.0002377,           0.0002377
                  79,            0.014327,           0.0067198,                   0,             0.90309,             0.83242,             0.88736,             0.70319,            0.015992,           0.0052033,                   0,           0.0002278,           0.0002278,           0.0002278
                  80,            0.015051,           0.0067725,                   0,             0.94963,             0.80828,             0.88574,             0.70098,             0.01563,           0.0049663,                   0,           0.0002179,           0.0002179,           0.0002179
                  81,              0.0135,            0.006766,                   0,             0.91573,             0.81264,             0.88678,             0.69864,            0.016032,           0.0051418,                   0,            0.000208,            0.000208,            0.000208
                  82,            0.014218,           0.0063588,                   0,             0.92362,             0.80392,              0.8836,             0.70829,            0.016016,           0.0052291,                   0,           0.0001981,           0.0001981,           0.0001981
                  83,            0.013108,           0.0063827,                   0,             0.90242,             0.83878,             0.89385,             0.70258,            0.016115,           0.0050407,                   0,           0.0001882,           0.0001882,           0.0001882
                  84,            0.013073,           0.0060836,                   0,             0.91944,              0.8061,             0.88093,             0.68935,            0.016418,            0.005382,                   0,           0.0001783,           0.0001783,           0.0001783
                  85,            0.013169,           0.0058579,                   0,             0.92975,             0.80733,             0.88548,             0.70506,            0.016063,           0.0054866,                   0,           0.0001684,           0.0001684,           0.0001684
                  86,             0.01411,           0.0062239,                   0,              0.9244,             0.82571,              0.8881,             0.70411,            0.016117,           0.0050266,                   0,           0.0001585,           0.0001585,           0.0001585
                  87,            0.012945,           0.0061403,                   0,             0.95006,             0.82891,             0.89358,             0.70986,            0.015959,           0.0048792,                   0,           0.0001486,           0.0001486,           0.0001486
                  88,             0.01304,           0.0058046,                   0,             0.93516,             0.82789,             0.89441,             0.70196,            0.015741,           0.0051057,                   0,           0.0001387,           0.0001387,           0.0001387
                  89,            0.013143,           0.0059539,                   0,             0.93761,             0.82571,             0.89571,             0.70713,            0.015799,           0.0051344,                   0,           0.0001288,           0.0001288,           0.0001288
                  90,            0.012677,           0.0057609,                   0,             0.91391,              0.8366,             0.89207,             0.70479,            0.015646,           0.0051497,                   0,           0.0001189,           0.0001189,           0.0001189
                  91,            0.013024,            0.005906,                   0,             0.90913,             0.83007,             0.89122,             0.70871,            0.015862,           0.0051806,                   0,            0.000109,            0.000109,            0.000109
                  92,             0.01198,           0.0058769,                   0,             0.94627,             0.80576,             0.89124,             0.70329,            0.015995,           0.0051958,                   0,            9.91e-05,            9.91e-05,            9.91e-05
                  93,            0.011994,           0.0057135,                   0,             0.94306,             0.81917,             0.90027,              0.7126,            0.015892,           0.0052593,                   0,            8.92e-05,            8.92e-05,            8.92e-05
                  94,            0.011878,           0.0056388,                   0,             0.94762,             0.81699,             0.89664,             0.72155,            0.015793,           0.0051561,                   0,            7.93e-05,            7.93e-05,            7.93e-05
                  95,            0.012092,           0.0057798,                   0,             0.94629,             0.81046,             0.89655,             0.71539,            0.015858,           0.0052374,                   0,            6.94e-05,            6.94e-05,            6.94e-05
                  96,            0.011608,           0.0055444,                   0,             0.94973,             0.82318,             0.89972,             0.71883,            0.015779,           0.0052435,                   0,            5.95e-05,            5.95e-05,            5.95e-05
                  97,            0.011997,           0.0054679,                   0,             0.93748,             0.81677,             0.89674,             0.71795,            0.015608,           0.0052838,                   0,            4.96e-05,            4.96e-05,            4.96e-05
                  98,            0.011629,           0.0055586,                   0,             0.94948,             0.81046,             0.89628,             0.71945,            0.015595,           0.0052606,                   0,            3.97e-05,            3.97e-05,            3.97e-05
                  99,            0.012028,           0.0056915,                   0,             0.94023,             0.82258,             0.89522,              0.7214,            0.015689,           0.0053036,                   0,            2.98e-05,            2.98e-05,            2.98e-05
